id,firstname,lastname,course,year,gender
2026-0002,Ryan,Urbano,BA His,2,Female
2026-0003,Marnie,Mendoza,BA Pan,3,Other
2026-0004,Denise,Bautista,BA PoS,4,Male
2026-0005,Paula,Velez,BA Psych,1,Female
2026-0006,Gavin,Pineda,BA Soc,2,Other
2026-0007,Eric,Herrera,BAELS,3,Male
2026-0008,Ursula,Fernandez,BALCS,4,Female
2026-0009,Katherine,Enriquez,BET-CET,1,Other
2026-0010,Orlando,Zulueta,BET-ChET,2,Male
2026-0011,Cyrus,Velasco,BET-EET,3,Female
2026-0012,Grace,Hernandez,BET-EST,4,Other
2026-0013,George,Javier,BET-MET,1,Male
2026-0014,Ariana,Romero,BET-MMT,2,Female
2026-0015,Tristan,Domingo,BS Applied Physics,3,Other
2026-0016,Quinn,Espinosa,BS Bio-Animal Biology,4,Male
2026-0017,Grace,Luna,BS Bio-Biodiversity,1,Female
2026-0018,Nathan,Ocampo,BS Bio-Microbiology,2,Other
2026-0019,Wilma,Ablaza,BS Bio-Plant Biology,3,Male
2026-0020,Patricia,Yabut,BS Chem,4,Female
2026-0021,Andrea,Gatchalian,BS Econ,1,Other
2026-0022,Juan,Magtibay,BS HM,2,Male
2026-0023,Faith,Macaraeg,BS IAM,3,Female
2026-0024,Monica,Tiongson,BS Mar,4,Other
2026-0025,Hector,Nolasco,BS Math,1,Male
2026-0026,Paula,Magtibay,BS Physics,2,Female
2026-0027,Enzo,Roxas,BS Stat,3,Other
2026-0028,Joy,Del Rosario,BSA,4,Male
2026-0029,Joshua,Khan,BSBA-BE,1,Female
2026-0030,Ophelia,Co,BSBA-MM,2,Other
2026-0031,Faith,David,BSCE,3,Male
2026-0032,Valerie,Yabut,BSCE,4,Female
2026-0033,Mila,Mendoza,BSCS,1,Other
2026-0034,Joshua,Jacinto,BSCerE,2,Male
2026-0035,Zion,Javier,BSChE,3,Female
2026-0036,Wendy,Quisumbing,BSCpE,4,Other
2026-0037,Jose,Nguyen,BSECE,1,Male
2026-0038,Leah,Kabiling,BSEE,2,Female
2026-0039,Selena,Romero,BSEME,3,Other
2026-0040,Carmen,Osorio,BSENTREP,4,Male
2026-0041,Liam,Domingo,BSEnE,1,Female
2026-0042,Joy,Urbano,BSIS,2,Other
2026-0043,Noah,David,BSIT,3,Male
2026-0044,Faye,Nolasco,BSME,4,Female
2026-0045,Mia,Rivera,BSMEE,1,Other
2026-0046,Sebastian,Morales,BSMetE,2,Male
2026-0047,Dominic,Cabrera,BSCE,3,Female
